,value
0,53.250926220639556
1,85.00246446490662
2,70.28886301019905
3,68.15034898552857
4,56.78453807168516
5,46.83215857885871
6,56.539529124896234
7,88.84955240680904
8,70.2355715200703
9,74.51149204026366
10,41.17410545035136
11,84.40232407584179
12,89.00487972026608
13,44.19352140871235
14,38.30401850005227
15,42.426208700525706
16,36.505318321276945
17,65.98626135544774
18,68.8819153234608
19,31.41061594686778
20,68.73950533183417
21,40.799602319163235
22,61.90483662261093
23,63.35389601365383
24,66.5587297586536
25,73.18758968809453
26,46.815516163687455
27,57.7380268610477
28,52.83975266353066
29,50.45426679089032
30,66.04229062961286
31,51.85049837979682
32,43.2793937828552
33,72.09957825056244
34,69.97053513218302
35,86.1459931232978
36,54.309403823798796
37,43.3576386101509
38,55.48658629846926
39,44.59987799207783
40,53.95387451299043
41,63.54573137162151
42,29.788298493509718
43,83.43860182371742
44,57.72762415949056
45,65.74501626038315
46,42.30367316717891
47,53.23820507486326
48,63.12568695803956
49,47.06791480859722
50,82.53367035023211
51,74.77673482547935
52,82.3296628488427
53,85.23523348313611
54,77.32736923482292
55,66.53045668494623
56,37.65520701024066
57,37.228608409704606
58,42.33752704172829
59,63.24718729008793
60,61.62689025216603
61,51.41637530562446
62,70.89442110692292
63,44.85809609510656
64,43.21373490289538
65,66.17741879928292
66,37.860476176006884
67,61.46013938675535
68,42.47585270260391
69,67.88215011606368
70,67.99251637735219
71,43.294052204604235
72,28.133302904276785
73,66.96809799003981
74,79.92883223174242
75,75.75935844167549
76,61.256632018822344
77,54.39074607442464
78,50.76146874632565
79,45.11182832449419
80,76.77136690985873
81,66.58551725193928
82,53.03379195814874
83,41.127905220911174
84,59.2215162723436
85,42.1998869701968
86,63.73882831494589
87,48.49748620235222
88,75.61147822110314
89,40.76487610948568
90,41.56251754141623
91,75.70971034546274
92,58.723920341954994
93,56.937519750365865
94,77.42431647361768
95,47.79814943812594
96,63.2329621296073
97,43.636224527385
98,37.96363365858616
99,30.857883745266122
100,25.570578706807673
101,67.28094512126776
102,52.504323121586296
103,53.0501557971098
104,77.23331937966185
105,39.595222459364095
106,44.980987319895945
107,68.47498267557746
108,50.138763293954334
109,43.8188300582985
110,50.72464034668651
111,47.05834705046937
112,70.25825753263302
113,62.8297222789636
114,75.67765255798781
115,83.58736843343449
116,60.392599417582176
117,47.363395138677355
118,78.18042228699582
119,57.698208846620446
120,70.59309176659868
121,76.19684948051376
122,55.54032518184151
123,51.95952804577181
124,53.34769531729898
125,48.0534612175224
126,57.29954626472103
127,79.38951436197013
128,24.46369034687406
129,41.797535748207565
130,64.78146385645283
131,49.98697791015539
132,37.09663138485058
133,52.7661933660886
134,71.70822127768791
135,43.85136802478593
136,68.09729277185421
137,62.2676894337914
138,47.44882450453511
139,76.34179544595494
140,72.18803772138176
141,43.93535457153651
142,53.33886543557972
143,44.21844437844302
144,39.57104302786507
145,51.93482320044186
146,69.62305512864944
147,62.44433490096542
148,50.85480185991634
149,57.55624776212611
150,70.36431439301015
151,57.05307707850582
152,54.40893166128703
153,65.89141511939044
154,77.21389578213886
155,43.58148501811901
156,51.60121057382343
157,71.44562177425185
158,54.86389432326521
159,60.439295233958575
160,54.786125102357246
161,69.7095531371838
162,63.26469632310359
163,59.932722222632805
164,27.621870395437792
165,63.77705416269691
166,49.52744354196739
167,38.66037401350526
168,20.27905271170181
169,55.11525690943221
170,65.10292306870865
171,57.10903715827713
172,53.42674281069916
173,44.0820894561908
174,64.9582744812295
175,53.50116302824182
176,62.74704731541787
177,43.667174802952395
178,88.23238194049314
179,53.50284141091836
180,60.58651208011602
181,34.38761626375747
182,75.06768953024553
183,89.47251173015268
184,54.270849440613254
185,72.95358586344805
186,70.02842360662939
187,49.63260431449904
188,57.83639167857764
189,43.843115766513954
190,26.330262314248284
191,68.26485585879094
192,73.50955733769541
193,62.798149456742195
194,37.29443793662784
195,54.554404755217
196,69.88021108848996
197,85.15467224062947
198,68.15844435153105
199,64.59632776044268
200,69.45959427183533
201,25.661036941871956
202,32.0976211021249
203,61.03503379374536
204,59.270624486475526
205,53.84341306450861
206,42.68085159790475
207,66.99807366367
208,27.07435858636469
209,56.10657312965009
210,63.93738264239664
211,68.19353004922276
212,53.593303852613616
213,44.90441092050678
214,73.24296200511246
215,52.26211780820563
216,49.65239354564438
217,84.45388126710267
218,59.21835828660133
219,80.4287722806179
220,82.4805306787283
221,47.05628909652263
222,38.5730216595063
223,63.15496130588414
224,52.398515774821654
225,58.08867497836436
226,73.16268129267242
227,60.984473138373026
228,77.21592774275666
229,54.63279004430801
230,70.92161522045616
231,57.607711085844386
232,67.93679930695863
233,51.06962244475659
234,44.7658541162866
235,74.55368662435286
236,48.46137834715231
237,42.57649120636713
238,70.8458390088966
239,34.87892966848253
240,78.48450536979402
241,80.56002892035498
242,90.22525598072203
243,61.6388873231031
244,42.134974423998266
245,83.45663595246253
246,41.74725613261171
247,73.69722925249462
248,91.13234322781922
249,77.76600599760415
250,52.434663716190286
251,64.62923923866232
252,70.993871304322
253,46.52161793245327
254,39.011582936863505
255,67.75972861878189
256,72.37312879796556
257,68.37484004279176
258,65.57252408489539
259,52.91567011994144
260,53.650936047236385
261,84.19696528976382
262,36.021480802654054
263,60.296103261550705
264,52.524077616628226
265,57.92107748448861
266,75.14017269293657
267,71.08395736533699
268,47.411727107886215
269,52.907988065958214
270,67.4633242809488
271,86.88970194970177
272,72.91100897413166
273,62.25628740768476
274,63.23579976215628
275,43.47931171499467
276,59.540508056679094
277,73.95383695523462
278,68.33482953440907
279,76.02093274390346
280,83.81942120087744
281,61.8792503136698
282,48.868024782539145
283,25.28966760308055
284,53.69162423708196
285,48.013498976474736
286,51.68547288979161
287,55.052634705807606
288,44.27934194667101
289,65.11530367730711
290,29.412570103174257
291,42.74828298020316
292,74.80273148604755
293,65.53922062741341
294,40.773834919062054
295,56.29730067436221
296,74.99430716541028
297,43.05658948188273
298,74.09849586691024
299,56.521395479481434
300,38.00445153164628
301,55.75656004303363
302,54.45820231050967
303,64.72423047544585
304,71.34597019240583
305,90.36910039110273
306,76.80930134169452
307,66.05577044444081
308,62.66494516639926
309,48.46346310810739
310,61.23873886640254
311,52.04184477434329
312,37.408499575164235
313,91.14838449731698
314,78.20413790061978
315,71.48173647587234
316,59.48868734248507
317,44.73702560701359
318,27.486139567079952
319,35.26662719537388
320,64.75797152666037
321,52.53351454739197
322,72.72213016349113
323,40.58094321613299
324,83.85061964219528
325,76.75854722223217
326,47.075298792677025
327,60.33343984777759
328,59.02498983834692
329,50.20771871045056
330,45.923718126872444
331,78.47155591279736
332,24.395602703899794
333,43.622299881551946
334,49.96273749472395
335,48.57358384219298
336,75.7994098684271
337,72.01387190590623
338,54.62191211691612
339,39.10607966443365
340,44.38648548629554
341,59.110940576377835
342,42.18297953692314
343,69.6902915143111
344,51.17452961487328
345,59.39184904231777
346,54.57117826058679
347,42.662124875451035
348,61.31715098285713
349,62.517813553245276
350,51.805249057110196
351,79.86582815332174
352,60.230329591434355
353,51.506405673947086
354,35.629617332719505
355,64.99874284234828
356,39.903462904439905
357,61.49447372855564
358,71.97576025289347
359,60.298754839466994
360,69.21380306109869
361,55.011919037411445
362,59.376450170562435
363,58.60117631764138
364,76.54761164135364
365,53.426352139885665
366,79.6349704439135
367,80.8455392780887
368,45.98400720898272
369,42.111378868307646
370,46.731697033251905
371,25.801382394674658
372,52.60841162348954
373,63.44527718817856
374,27.84558521593638
375,47.71612198394641
376,79.5297041066817
377,45.37598437652371
378,55.51176212881686
379,37.09503392777249
380,31.46840588102973
381,72.44285367103619
382,67.55642329961506
383,58.93183463600754
384,77.15493425715455
385,61.664452881346335
386,54.64835438254299
387,34.4153096472806
388,66.42089950045857
389,68.92156532126727
390,76.62826642192638
391,53.458405210958134
392,51.92371430470152
393,65.69710984805498
394,55.66552217007894
395,77.25024597559245
396,72.05822904245937
397,57.68372813879433
398,65.9701582009104
399,64.23470157210664
400,29.841551261215695
401,55.55643099529205
402,35.759099953110834
403,80.82375693497494
404,54.841962642752996
405,81.15621033066684
406,67.61709445817274
407,43.00416112887774
408,70.79111671531717
409,44.27546375009424
410,51.42484770279036
411,61.06249098145568
412,75.6459715050432
413,48.61385154244704
414,65.00849495930406
415,59.164642630005694
416,32.314474810928516
417,58.01187004626451
418,67.4721315397025
419,65.75312138908272
420,75.34414184151552
421,73.78431323646963
422,38.979154111475715
423,57.07779893591977
424,49.6457163593318
425,60.316533093126615
426,40.681956210849485
427,82.06326477911539
428,56.65532908341466
429,44.227461379267616
430,33.58837582707415
431,75.55412346707045
432,74.2877178814958
433,50.59467118233003
434,20.958750889833805
435,51.54992947507685
436,30.027274301542
437,89.51368908774118
438,53.39824448115736
439,45.1921247980388
440,43.8843517975301
441,75.80097986620788
442,59.46094393767414
443,57.174562382066604
444,69.37648040650076
445,56.85888069183586
446,75.6056275387618
447,88.51177664069395
448,68.03603824783214
449,47.41344647673313
450,72.5377025033375
451,67.81488150424084
452,56.07852997539296
453,83.58415253829025
454,33.556725973174224
455,56.22654858141137
456,45.62054804777903
457,48.783519156042736
458,26.319953410894865
459,55.660206489564096
460,33.38497840925787
461,70.27608454889979
462,58.53573324856805
463,60.07729756314471
464,86.84394839445699
465,40.549065534498695
466,58.633156963373494
467,72.97184593380359
468,54.76116944386623
469,85.59412046576932
470,47.750604054145114
471,87.28813239552917
472,51.03560861299161
473,71.03350685234786
474,47.66162788008553
475,78.87692975431001
476,47.128797573377696
477,59.20258665233778
478,89.68372874932038
479,57.149928373575605
480,65.64119131071847
481,70.87040337404159
482,48.049531197627665
483,49.089054814344344
484,61.30596019533479
485,75.10462827132659
486,41.536298380692294
487,55.64884680133591
488,73.75091296555006
489,87.24059040185972
490,58.12477758986748
491,66.48774659553604
492,40.763221687577904
493,41.02090234377689
494,48.59338176832486
495,48.26566805733514
496,73.22156116541935
497,33.72994840771721
498,79.50096891283698
499,86.83794454731309
